Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2019-09-10 18:11 (EDT),On Demand,Kendall Toole,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-09-10 06:00 (EDT),,,,,,,14,,,
2019-09-11 17:30 (EDT),Live,Emma Lovewell,45,Cycling,Theme,45 min 90s Pop Ride,2019-09-11 17:17 (EDT),626,232,60%,70,22.39,16.78,857,,,
2019-09-11 18:21 (EDT),On Demand,Emma Lovewell,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-08-06 15:00 (EDT),,,,,,,14,,,
2019-09-13 17:12 (EDT),On Demand,Emma Lovewell,30,Cycling,Theme,30 min 80s Rock Ride,2019-09-12 12:19 (EDT),436,242,63%,68,22.81,11.40,596,,,
2019-09-13 17:43 (EDT),On Demand,Emma Lovewell,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-08-06 15:00 (EDT),,,,,,,15,,,
2019-09-17 17:42 (EDT),On Demand,Hannah Marie Corbin,20,Cycling,Theme,20 min 80s Ride,2019-09-16 09:51 (EDT),260,235,63%,67,22.50,6.94,357,,,
2019-09-17 18:02 (EDT),On Demand,Hannah Marie Corbin,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-07-15 13:48 (EDT),,,,,,,14,,,
2019-09-18 17:26 (EDT),On Demand,Alex Toussaint,30,Cycling,Theme,30 min 80s Ride,2019-09-17 20:18 (EDT),439,244,64%,65,22.87,11.43,601,,,
2019-09-18 17:59 (EDT),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-09-13 14:18 (EDT),,,,,,,14,,,
2019-09-19 14:52 (EDT),On Demand,Ally Love,20,Cycling,Intervals,20 min HIIT Ride,2019-09-18 09:17 (EDT),294,245,65%,64,22.83,7.60,403,,,
