Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2019-02-14 18:34 (EDT),Live,Cody Rigsby,45,Cycling,Theme,45 min 90s Pop Ride,2019-02-14 18:22 (EDT),84,113,38%,79,16.11,3.34,111,,,
2019-02-14 19:11 (EDT),On Demand,Leanne Hainsby,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-02-13 00:14 (EDT),,,,,,,5,,,
2019-02-17 16:15 (EDT),On Demand,Ally Love,20,Cycling,Beginner,20 min Beginner Ride,2018-08-16 14:00 (EDT),118,99,36%,85,15.75,5.25,155,,,
2019-02-17 16:38 (EDT),On Demand,Leanne Hainsby,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-02-13 00:14 (EDT),,,,,,,28,,,
2019-02-19 18:51 (EDT),On Demand,Matt Wilpers,15,Cycling,Low Impact,15 min Warm Up Ride,2018-07-30 14:35 (EDT),100,111,37%,89,16.47,4.12,132,,,
2019-02-19 19:07 (EDT),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-01-03 15:11 (EDT),,,,,,,14,,,
2019-02-20 18:16 (EDT),On Demand,Cody Rigsby,20,Cycling,Theme,20 min Beginner Ride,2018-08-24 15:11 (EDT),127,106,35%,90,15.96,5.31,167,,,
2019-02-20 18:39 (EDT),On Demand,Cody Rigsby,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-02-07 15:10 (EDT),,,,,,,11,,,
2019-02-22 18:32 (EDT),On Demand,Denis Morton,30,Cycling,Low Impact,30 min Low Impact Ride,2018-08-04 15:18 (EDT),163,91,34%,86,14.87,7.42,214,,,
2019-02-22 19:05 (EDT),On Demand,Denis Morton,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-02-15 14:26 (EDT),,,,,,,14,,,
2019-02-23 10:04 (EDT),,,44,Cycling,,44 min 31 sec Just Ride,,181,68,27%,100,13.61,10.09,239,,,
2019-02-24 09:21 (EDT),,,35,Cycling,,35 min 41 sec Just Ride,,186,87,28%,111,15.21,9.05,245,,,
2019-02-25 21:11 (EDT),On Demand,,30,Cycling,Scenic Ride,30 min Maine Scenic Ride,,1,30,28%,47,7.18,0.06,1,,,
2019-02-25 21:11 (EDT),,,46,Cycling,,46 min 56 sec Just Ride,,248,88,30%,106,15.35,12.01,326,,,
2019-02-25 22:02 (EDT),On Demand,Hannah Marie Corbin,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-02-21 14:30 (EDT),,,,,,,14,,,
2019-02-26 19:37 (EDT),,,50,Cycling,,50 min 2 sec Just Ride,,279,93,29%,111,15.67,13.07,382,,,
2019-02-26 20:30 (EDT),On Demand,Cody Rigsby,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-02-07 15:10 (EDT),,,,,,,12,,,
2019-02-28 17:14 (EDT),On Demand,Jennifer Jacobs,30,Cycling,Theme,30 min 80s Pop Ride,2018-12-24 10:19 (EDT),252,140,44%,81,18.12,9.05,345,,,
2019-02-28 17:46 (EDT),On Demand,Jennifer Jacobs,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-01-25 14:36 (EDT),,,,,,,14,,,
2019-03-01 18:44 (EDT),On Demand,Jenn Sherman,30,Cycling,Low Impact,30 min Low Impact Ride,2019-01-22 13:21 (EDT),219,122,39%,88,17.33,8.66,300,,,
2019-03-01 19:15 (EDT),On Demand,Jenn Sherman,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-01-31 14:19 (EDT),,,,,,,14,,,
2019-03-06 14:56 (EDT),,,52,Cycling,,52 min 46 sec Just Ride,,309,98,31%,107,15.93,14.01,423,,,
2019-03-06 15:50 (EDT),On Demand,Emma Lovewell,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-03-01 14:54 (EDT),,,,,,,15,,,
2019-03-07 17:40 (EDT),On Demand,Leanne Hainsby,30,Cycling,Theme,30 min Pop Ride,2019-03-05 06:15 (EDT),271,151,45%,82,18.78,9.38,371,,,
2019-03-07 18:13 (EDT),On Demand,Leanne Hainsby,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-02-20 01:15 (EDT),,,,,,,29,,,
2019-03-11 20:30 (EDT),Live,Jenn Sherman,45,Cycling,Theme,45 min Y2K Ride,2019-03-11 20:19 (EDT),0,1,31%,4,0.50,0,0,,,
2019-03-11 20:31 (EDT),,,15,Cycling,,15 min 53 sec Just Ride,,141,148,40%,97,18.94,5.01,193,,,
2019-03-12 16:20 (EDT),,,25,Cycling,,25 min 55 sec Just Ride,,194,125,38%,95,17.40,7.51,265,,,
2019-03-12 16:47 (EDT),On Demand,Jennifer Jacobs,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-03-11 14:30 (EDT),,,,,,,15,,,
2019-03-13 17:42 (EDT),On Demand,Leanne Hainsby,30,Cycling,Beginner,30 min Advanced Beginner Ride,2019-03-12 05:53 (EDT),2,70,39%,63,13.90,0.12,3,,,
2019-03-13 17:42 (EDT),,,37,Cycling,,37 min 45 sec Just Ride,,300,132,45%,72,16.93,10.65,411,,,
2019-03-13 18:21 (EDT),On Demand,Jennifer Jacobs,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-03-11 14:30 (EDT),,,,,,,14,,,
2019-03-16 11:00 (EDT),,,45,Cycling,,45 min 15 sec Just Ride,,353,130,40%,89,17.98,13.55,484,,,
2019-03-16 11:47 (EDT),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-02-18 01:06 (EDT),,,,,,,29,,,
2019-03-17 10:27 (EDT),,,32,Cycling,,32 min 22 sec Just Ride,,280,144,40%,92,18.73,10.10,383,,,
2019-03-20 14:21 (EDT),On Demand,Leanne Hainsby,30,Cycling,Theme,30 min British Pop Ride,2019-03-19 02:59 (EDT),326,181,50%,79,20.16,10.07,446,,,
2019-03-20 14:53 (EDT),On Demand,Jennifer Jacobs,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-03-11 14:30 (EDT),,,,,,,14,,,
2019-03-23 16:00 (EDT),,,33,Cycling,,33 min 11 sec Just Ride,,283,142,46%,75,18.12,10.02,387,,,
2019-03-25 16:51 (EDT),On Demand,Ally Love,30,Cycling,Theme,30 min Pop Ride,2019-02-28 12:18 (EDT),331,184,53%,74,20.40,10.19,453,,,
2019-03-25 17:25 (EDT),On Demand,Christine D'Ercole,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-03-19 14:53 (EDT),,,,,,,14,,,
2019-03-27 15:11 (EDT),On Demand,Emma Lovewell,30,Cycling,Intervals,30 min HIIT Ride,2019-03-27 11:20 (EDT),302,168,49%,75,19.37,9.68,414,,,
2019-03-27 15:44 (EDT),On Demand,Jenn Sherman,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-01-31 14:19 (EDT),,,,,,,15,,,
2019-03-28 17:30 (EDT),Live,Jenn Sherman,45,Cycling,Theme,45 min 80s Pop Ride,2019-03-28 17:18 (EDT),461,171,48%,80,19.74,14.81,631,,,
2019-03-29 16:57 (EDT),On Demand,Jennifer Jacobs,45,Cycling,Theme,45 min 80s Ride,2019-03-29 07:49 (EDT),451,167,50%,76,19.64,14.73,617,,,
2019-03-31 09:28 (EDT),On Demand,Ally Love,20,Cycling,Intervals,20 min HIIT Ride,2019-03-28 10:20 (EDT),212,176,49%,82,20.15,6.72,290,,,
2019-03-31 09:49 (EDT),On Demand,Ally Love,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-03-02 14:12 (EDT),,,,,,,14,,,
2019-04-01 16:45 (EDT),,,45,Cycling,,45 min 4 sec Just Ride,,417,154,48%,77,19.06,14.31,571,,,
2019-04-14 18:39 (EDT),On Demand,Leanne Hainsby,10,Cycling,Low Impact,10 min Low Impact Ride,2019-04-13 04:22 (EDT),119,199,54%,75,21.13,3.51,163,,,
2019-04-16 15:00 (EDT),,,31,Cycling,,31 min 29 sec Just Ride,,300,159,47%,79,19.22,10.08,411,,,
2019-04-16 15:32 (EDT),On Demand,Ally Love,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-03-02 14:12 (EDT),,,,,,,14,,,
2019-04-19 16:35 (EDT),On Demand,Robin Arzon,45,Cycling,Theme,45 min Hip Hop Ride,2019-04-17 18:18 (EDT),475,176,51%,78,20.24,15.17,651,,,
2019-04-19 17:23 (EDT),On Demand,Robin Arzon,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-04-16 15:07 (EDT),,,,,,,15,,,
2019-04-23 14:57 (EDT),On Demand,Alex Toussaint,30,Cycling,Intervals,30 min HIIT Ride,2019-04-23 11:16 (EDT),333,185,52%,76,20.51,10.25,455,,,
2019-04-24 17:51 (EDT),Live,Emma Lovewell,45,Cycling,Theme,45 min Electronic Dance/EDM Ride,2019-04-24 17:19 (EDT),0,0,21%,0,0,0,0,,,
2019-04-25 17:05 (EDT),On Demand,Hannah Marie Corbin,20,Cycling,Theme,20 min Hip Hop Ride,2019-04-19 09:18 (EDT),232,194,51%,81,20.89,6.96,318,,,
2019-04-27 19:08 (EDT),,,30,Cycling,,30 min 1 sec Just Ride,,324,180,49%,81,20.30,10.15,443,,,
2019-04-27 19:39 (EDT),On Demand,Cody Rigsby,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-04-26 14:33 (EDT),,,,,,,7,,,
2019-04-29 19:44 (EDT),On Demand,Jess King,20,Cycling,Theme,20 min Hip Hop Ride,2019-04-29 16:52 (EDT),244,204,53%,79,21.31,7.10,334,,,
2019-04-29 20:06 (EDT),On Demand,Jess King,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-04-23 15:35 (EDT),,,,,,,14,,,
2019-05-02 18:22 (EDT),On Demand,Emma Lovewell,20,Cycling,Intervals,20 min HIIT Ride,2019-04-30 16:19 (EDT),220,184,48%,84,20.38,6.79,302,,,
2019-05-02 18:43 (EDT),On Demand,Emma Lovewell,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-03-26 14:38 (EDT),,,,,,,14,,,
2019-05-04 17:40 (EDT),On Demand,Hannah Marie Corbin,10,Cycling,Low Impact,10 min Low Impact Ride,2019-04-12 10:02 (EDT),124,208,52%,83,21.55,3.58,170,,,
2019-05-04 17:52 (EDT),On Demand,Hannah Marie Corbin,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-04-19 14:24 (EDT),,,,,,,15,,,
2019-05-05 15:50 (EDT),On Demand,Emma Lovewell,45,Cycling,Live DJ,45 min Live DJ Ride,2019-04-28 17:47 (EDT),479,178,47%,87,20.31,15.22,656,,,
2019-05-05 16:38 (EDT),On Demand,Cody Rigsby,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-04-26 14:33 (EDT),,,,,,,14,,,
2019-05-06 16:20 (EDT),On Demand,Denis Morton,30,Cycling,Intervals,30 min HIIT Ride,2019-05-06 09:18 (EDT),290,161,48%,75,18.62,9.30,397,,,
2019-05-06 16:51 (EDT),On Demand,Denis Morton,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-04-12 14:28 (EDT),,,,,,,0,,,
2019-05-10 14:15 (EDT),On Demand,Hannah Marie Corbin,30,Cycling,Beginner,30 min Advanced Beginner Ride,2019-05-10 09:19 (EDT),334,186,48%,87,20.65,10.32,458,,,
2019-05-10 14:47 (EDT),On Demand,Hannah Marie Corbin,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-04-19 14:24 (EDT),,,,,,,15,,,
2019-05-11 17:32 (EDT),Live,Alex Toussaint,45,Cycling,Theme,45 min Club Bangers Ride,2019-05-11 16:47 (EDT),1,69,37%,53,11.75,0.05,2,,,
2019-05-11 17:34 (EDT),On Demand,Alex Toussaint,30,Cycling,Theme,30 min Hip Hop Ride,2019-05-11 14:32 (EDT),344,192,51%,82,20.94,10.46,472,,,
2019-05-11 18:05 (EDT),On Demand,Alex Toussaint,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-04-10 15:40 (EDT),,,,,,,14,,,
2019-05-13 17:38 (EDT),On Demand,Cody Rigsby,20,Cycling,Theme,20 min Pop Ride,2019-05-07 10:51 (EDT),236,197,52%,79,21.14,7.04,323,,,
2019-05-13 18:00 (EDT),On Demand,Cody Rigsby,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-04-26 14:33 (EDT),,,,,,,14,,,
2019-05-15 17:20 (EDT),On Demand,Robin Arzon,45,Cycling,Live DJ,45 min Live DJ Ride,2019-05-10 17:34 (EDT),482,179,51%,77,20.34,15.24,660,,,
2019-05-15 18:08 (EDT),On Demand,Robin Arzon,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-04-16 15:07 (EDT),,,,,,,14,,,
2019-05-16 16:08 (EDT),On Demand,Jennifer Jacobs,30,Cycling,Theme,30 min 80s Rock Ride,2019-05-13 13:18 (EDT),328,183,51%,78,20.41,10.19,450,,,
2019-05-16 16:41 (EDT),On Demand,Jennifer Jacobs,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-03-11 14:30 (EDT),,,,,,,14,,,
2019-05-20 17:44 (EDT),On Demand,Ben Alldis,20,Cycling,Intervals,20 min HIIT Ride,2019-05-19 00:03 (EDT),235,196,55%,71,21.11,7.02,321,,,
2019-05-20 18:06 (EDT),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-05-14 02:27 (EDT),,,,,,,15,,,
2019-05-21 12:40 (EDT),,,25,Cycling,,25 min 32 sec Just Ride,,250,163,48%,78,19.31,8.21,342,,,
2019-05-22 17:19 (EDT),On Demand,Robin Arzon,20,Cycling,Intervals,20 min HIIT Ride,2019-05-15 16:18 (EDT),247,206,51%,85,21.56,7.17,338,,,
2019-05-22 17:42 (EDT),On Demand,Robin Arzon,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-04-16 15:07 (EDT),,,,,,,14,,,
2019-05-24 16:11 (EDT),On Demand,Olivia Amato,30,Cycling,Theme,30 min Pop Ride,2019-05-21 16:18 (EDT),350,195,50%,84,21.06,10.53,479,,,
2019-05-24 16:44 (EDT),On Demand,Olivia Amato,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-04-22 14:28 (EDT),,,,,,,14,,,
2019-05-26 16:52 (EDT),On Demand,Ben Alldis,20,Cycling,Theme,20 min Hip Hop Ride,2019-05-25 22:53 (EDT),242,202,53%,79,21.38,7.11,331,,,
2019-05-26 17:15 (EDT),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-05-14 02:27 (EDT),,,,,,,14,,,
2019-05-29 17:45 (EDT),On Demand,Jennifer Jacobs,20,Cycling,Theme,20 min 80s Pop Ride,2019-05-29 09:19 (EDT),250,209,54%,77,21.43,7.14,343,,,
2019-05-29 18:07 (EDT),On Demand,Jennifer Jacobs,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-05-23 14:36 (EDT),,,,,,,14,,,
2019-05-30 17:26 (EDT),On Demand,Alex Toussaint,45,Cycling,Theme,45 min 80s Ride,2019-05-28 06:49 (EDT),501,186,48%,86,20.73,15.54,686,,,
2019-05-30 18:13 (EDT),On Demand,Alex Toussaint,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-04-10 15:40 (EDT),,,,,,,14,,,
2019-05-31 16:29 (EDT),On Demand,Alex Toussaint,15,Cycling,Theme,15 min Hip Hop Ride,2019-05-15 15:52 (EDT),186,207,54%,78,21.59,5.39,254,,,
2019-05-31 16:45 (EDT),On Demand,Jennifer Jacobs,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-05-23 14:36 (EDT),,,,,,,14,,,
2019-06-02 15:34 (EDT),On Demand,Emma Lovewell,15,Cycling,Low Impact,15 min Low Impact Ride,2019-03-21 15:51 (EDT),175,195,51%,81,21.07,5.26,240,,,
2019-06-02 15:50 (EDT),On Demand,Emma Lovewell,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-05-21 14:56 (EDT),,,,,,,14,,,
2019-06-03 18:54 (EDT),On Demand,Ben Alldis,20,Cycling,Theme,20 min Pop Ride,2019-06-01 21:23 (EDT),247,206,53%,79,21.51,7.16,338,,,
2019-06-03 19:16 (EDT),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-05-14 02:27 (EDT),,,,,,,14,,,
2019-06-05 18:29 (EDT),On Demand,Ben Alldis,30,Cycling,Theme,30 min House Ride,2019-05-30 19:54 (EDT),356,198,52%,81,21.24,10.61,488,,,
2019-06-05 19:02 (EDT),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-06-04 03:35 (EDT),,,,,,,14,,,
2019-06-07 16:18 (EDT),On Demand,Alex Toussaint,30,Cycling,Theme,30 min Hip Hop Ride,2019-06-01 14:31 (EDT),362,201,51%,85,21.36,10.67,495,,,
2019-06-07 16:51 (EDT),On Demand,Alex Toussaint,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-06-06 15:26 (EDT),,,,,,,14,,,
2019-06-08 15:30 (EDT),Live,Olivia Amato,30,Cycling,Theme,30 min EDM/Electronic Dance Ride,2019-06-08 15:21 (EDT),367,204,52%,81,21.51,10.74,503,,,
2019-06-08 16:03 (EDT),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-06-07 14:57 (EDT),,,,,,,14,,,
2019-06-11 16:42 (EDT),On Demand,Alex Toussaint,60,Cycling,Theme,60 min Hip Hop Ride,2019-05-25 09:48 (EDT),666,185,48%,85,20.53,20.52,911,,,
2019-06-11 17:47 (EDT),On Demand,Leanne Hainsby,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-06-01 22:33 (EDT),,,,,,,14,,,
2019-06-12 18:35 (EDT),On Demand,Ally Love,15,Cycling,Theme,15 min Hip Hop Ride,2019-05-26 14:53 (EDT),198,220,55%,78,22.13,5.52,271,,,
2019-06-12 18:51 (EDT),On Demand,Ally Love,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-04-06 14:20 (EDT),,,,,,,15,,,
2019-06-13 18:12 (EDT),On Demand,Olivia Amato,30,Cycling,Theme,30 min Hip Hop Ride,2019-06-13 13:16 (EDT),356,198,50%,85,21.20,10.59,487,,,
2019-06-13 18:44 (EDT),On Demand,Olivia Amato,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-04-22 14:28 (EDT),,,,,,,14,,,
2019-06-14 15:58 (EDT),On Demand,Ally Love,45,Cycling,Theme,45 min New Tracks Ride,2019-06-14 05:48 (EDT),511,189,50%,83,20.78,15.57,699,,,
2019-06-14 16:46 (EDT),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-06-07 14:57 (EDT),,,,,,,14,,,
2019-06-15 13:12 (EDT),On Demand,Emma Lovewell,45,Cycling,Theme,45 min 80s Ride,2019-06-11 18:18 (EDT),489,181,49%,84,20.48,15.35,669,,,
2019-06-15 14:01 (EDT),On Demand,Emma Lovewell,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-05-21 14:56 (EDT),,,,,,,14,,,
2019-06-16 09:08 (EDT),,,30,Cycling,,30 min 59 sec Just Ride,,340,183,47%,87,20.52,10.59,466,,,
2019-06-16 09:41 (EDT),On Demand,Denis Morton,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-06-14 15:26 (EDT),,,,,,,14,,,
2019-06-17 15:41 (EDT),On Demand,Leanne Hainsby,15,Cycling,Low Impact,15 min Low Impact Ride,2019-06-03 01:24 (EDT),180,200,51%,83,21.32,5.32,246,,,
2019-06-17 15:57 (EDT),On Demand,Leanne Hainsby,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-06-17 11:11 (EDT),,,,,,,29,,,
2019-06-18 17:38 (EDT),On Demand,Cody Rigsby,20,Cycling,Intervals,20 min HIIT Ride,2019-06-18 10:18 (EDT),252,210,51%,86,21.68,7.22,345,,,
2019-06-18 18:01 (EDT),On Demand,Cody Rigsby,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-04-26 14:33 (EDT),,,,,,,14,,,
2019-06-19 18:14 (EDT),On Demand,Hannah Marie Corbin,15,Cycling,Theme,15 min Pop Ride,2019-06-03 15:15 (EDT),200,223,56%,77,22.06,5.50,274,,,
2019-06-19 18:34 (EDT),On Demand,Robin Arzon,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-06-18 15:47 (EDT),,,,,,,14,,,
2019-06-20 17:12 (EDT),On Demand,Emma Lovewell,30,Cycling,Intervals,30 min HIIT Ride,2019-06-19 13:18 (EDT),369,205,52%,81,21.49,10.73,505,,,
2019-06-20 17:47 (EDT),On Demand,Emma Lovewell,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-05-21 14:56 (EDT),,,,,,,14,,,
2019-06-24 16:58 (EDT),On Demand,Ben Alldis,15,Cycling,Climb,15 min Climb Ride,2019-05-27 02:05 (EDT),169,188,50%,81,20.65,5.16,231,,,
2019-06-26 16:55 (EDT),Live,Robin Arzon,20,Cycling,Low Impact,20 min Low Impact Ride,2019-06-26 16:50 (EDT),260,217,53%,83,21.99,7.33,356,,,
2019-06-26 17:17 (EDT),On Demand,Cody Rigsby,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-04-26 14:33 (EDT),,,,,,,14,,,
2019-06-27 16:55 (EDT),Live,Alex Toussaint,20,Cycling,Theme,20 min 90s Rock Ride,2019-06-27 16:51 (EDT),264,220,51%,87,22.05,7.34,361,,,
2019-06-27 17:18 (EDT),On Demand,Alex Toussaint,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-06-06 15:26 (EDT),,,,,,,14,,,
2019-07-01 17:31 (EDT),Live,Denis Morton,45,Cycling,Theme,45  min 80s Ride,2019-07-01 17:17 (EDT),518,193,49%,84,20.79,15.50,709,,,
2019-07-01 18:18 (EDT),On Demand,Denis Morton,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-06-14 15:26 (EDT),,,,,,,14,,,
2019-07-02 17:30 (EDT),Live,Robin Arzon,45,Cycling,Intervals,45 min Tabata Ride,2019-07-02 17:18 (EDT),528,195,50%,85,21.09,15.82,722,,,
2019-07-02 18:18 (EDT),On Demand,Robin Arzon,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-06-18 15:47 (EDT),,,,,,,15,,,
2019-07-03 07:56 (EDT),On Demand,Emma Lovewell,20,Cycling,Theme,20 min Hip Hop Ride,2019-07-01 10:20 (EDT),235,196,49%,86,21.09,7.02,322,,,
2019-07-03 08:18 (EDT),On Demand,Emma Lovewell,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-05-21 14:56 (EDT),,,,,,,15,,,
2019-07-04 15:11 (EDT),,,30,Cycling,,30 min 27 sec Just Ride,,343,188,50%,82,20.63,10.48,470,,,
2019-07-04 15:42 (EDT),,,4,Cycling,,4 min 23 sec Just Ride,,39,148,46%,75,18.24,1.34,54,,,
2019-07-04 15:48 (EDT),On Demand,Jess King,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-06-24 15:15 (EDT),,,,,,,14,,,
2019-07-05 17:32 (EDT),On Demand,Emma Lovewell,15,Cycling,Theme,15 min 80s Ride,2019-07-05 14:00 (EDT),210,234,57%,77,22.56,5.63,288,,,
2019-07-05 17:50 (EDT),On Demand,Emma Lovewell,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-05-21 14:56 (EDT),,,,,,,14,,,
2019-07-07 18:44 (EDT),On Demand,Ben Alldis,10,Cycling,Climb,10 min Climb Ride,2019-07-07 04:31 (EDT),131,218,57%,72,21.78,3.62,179,,,
2019-07-07 18:56 (EDT),On Demand,Ben Alldis,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-06-04 03:35 (EDT),,,,,,,14,,,
2019-07-08 17:50 (EDT),On Demand,Cycling Instructors 2019 ,45,Cycling,Theme,45 min All for One Ride,2019-07-04 06:00 (EDT),557,207,53%,78,21.51,16.12,763,,,
2019-07-08 18:37 (EDT),On Demand,Alex Toussaint,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-06-06 15:26 (EDT),,,,,,,15,,,
2019-07-10 17:11 (EDT),On Demand,Alex Toussaint,30,Cycling,Theme,30 min Club Bangers Ride,2019-07-09 11:18 (EDT),378,210,53%,80,21.59,10.79,517,,,
2019-07-10 17:43 (EDT),On Demand,Alex Toussaint,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-06-06 15:26 (EDT),,,,,,,14,,,
2019-07-12 14:26 (EDT),On Demand,Matt Wilpers,60,Cycling,Power Zone,60 min Power Zone Ride,2019-07-06 12:34 (EDT),706,196,51%,81,21.09,21.07,966,,,
2019-07-12 15:28 (EDT),On Demand,Matt Wilpers,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-06-07 14:57 (EDT),,,,,,,14,,,
2019-07-13 19:04 (EDT),On Demand,Christine D'Ercole,15,Cycling,Theme,15 min New Wave Ride,2019-07-09 15:03 (EDT),204,227,57%,75,22.30,5.56,279,,,
2019-07-13 19:20 (EDT),On Demand,Christine D'Ercole,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-07-09 14:49 (EDT),,,,,,,14,,,
2019-07-15 16:47 (EDT),On Demand,Ben Alldis,30,Cycling,Theme,30 min 80s Ride,2019-07-13 07:50 (EDT),403,224,55%,78,22.11,11.03,551,,,
2019-07-17 17:22 (EDT),On Demand,Leanne Hainsby,20,Cycling,Theme,20 min British Rock Ride,2019-07-16 01:22 (EDT),268,224,55%,80,22.12,7.36,367,,,
2019-07-17 17:44 (EDT),On Demand,Leanne Hainsby,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-06-17 11:11 (EDT),,,,,,,29,,,
2019-07-18 16:30 (EDT),Live,Alex Toussaint,30,Cycling,Intervals,30 min Tabata Ride,2019-07-18 16:16 (EDT),405,225,56%,78,22.22,11.11,554,,,
2019-07-18 17:02 (EDT),On Demand,Alex Toussaint,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-06-06 15:26 (EDT),,,,,,,14,,,
2019-07-19 14:01 (EDT),On Demand,Alex Toussaint,45,Cycling,Theme,45 min Pop Ride,2019-07-16 06:48 (EDT),570,211,53%,79,21.54,16.15,780,,,
2019-07-19 14:49 (EDT),On Demand,Alex Toussaint,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2019-06-06 15:26 (EDT),,,,,,,14,,,
